667,0.219,3.91
714,0.177,4.38
769,0.179,4.88
833,0.188,5.44
909,0.205,6.06
1000,0.229,6.79
1050,0.243,7.2
1110,0.258,7.65
1180,0.276,8.15
1250,0.296,8.71
1330,0.319,9.35
1430,0.348,10.1
1540,0.384,10.9
1670,0.43,11.9
1820,0.492,13.0
2000,0.581,14.3
2110,0.64,15.1
2220,0.71,16.0
2350,0.793,17.0
2500,0.89,18.0
2670,1.0,19.2
2860,1.14,20.6
3080,1.31,22.2
3330,1.52,24.1
3640,1.81,26.3
4000,2.2,28.9
4440,2.74,32.1
5000,3.5,36.0
5710,4.54,41.0
6670,6.03,47.4
8000,8.29,56.2
10000,12.1,69.2
11100,14.7,76.3
12500,18.2,84.7
14300,23.0,94.9
16700,29.8,108.0
20000,39.9,124.0
22200,46.8,133.0
25000,54.8,144.0
28600,64.3,158.0
33300,76.4,175.0
40000,93.5,197.0
44400,105.0,210.0
50000,119.0,225.0
57100,137.0,243.0
66700,160.0,263.0
80000,188.0,288.0
100000,225.0,319.0
125000,263.0,353.0
154000,302.0,390.0
200000,356.0,444.0
286000,447.0,534.0
