206,1.02,1.597
210,1.054,1.656
213,1.09,1.697
217,1.133,1.739
221,1.181,1.77
225,1.228,1.8
229,1.276,1.822
233,1.329,1.843
238,1.388,1.851
243,1.439,1.844
248,1.489,1.84
253,1.546,1.814
258,1.573,1.77
263,1.58,1.734
269,1.577,1.705
275,1.564,1.678
281,1.54,1.662
288,1.507,1.652
295,1.458,1.66
302,1.422,1.698
310,1.404,1.735
317,1.387,1.773
326,1.375,1.814
335,1.377,1.851
344,1.369,1.874
354,1.349,1.905
364,1.324,1.937
375,1.292,1.985
387,1.276,2.037
399,1.239,2.078
413,1.198,2.158
427,1.186,2.238
442,1.168,2.299
459,1.147,2.372
476,1.131,2.445
495,1.121,2.485
516,1.089,2.501
539,0.9717,2.413
563,0.5166,2.41
590,0.1268,2.918
619,0.09461,3.382
652,0.0878,3.759
688,0.07277,4.123
729,0.06434,4.507
774,0.06,4.917
826,0.06248,5.361
885,0.06666,5.85
953,0.07343,6.4
1033,0.08395,7.028
1127,0.09798,7.757
1240,0.1189,8.619
1305,0.1317,9.114
1378,0.1465,9.66
1459,0.1646,10.27
1550,0.1863,10.95
1653,0.2125,11.72
1771,0.2439,12.59
1907,0.2836,13.59
2066,0.3333,14.76
2254,0.3975,16.14
2480,0.4814,17.78
2755,0.5934,19.78
3100,0.7493,22.28
3542,0.9782,25.48
4133,1.334,29.73
4959,1.924,35.62
6199,2.973,44.34
8266,5.134,58.62
12400,11.18,85.47
