10,0.991,0.017
10,0.985,0.025
10,0.992,0.017
11,0.987,0.008
11,0.982,0.016
11,0.983,0.017
11,0.985,0.01
12,0.982,0.011
12,0.978,0.022
13,0.972,0.031
13,0.971,0.039
13,0.969,0.042
14,0.978,0.038
14,0.972,0.03
14,0.976,0.044
14,0.974,0.042
15,0.974,0.051
15,0.973,0.055
16,0.976,0.047
17,0.975,0.041
17,0.968,0.044
18,0.967,0.044
19,0.967,0.05
20,0.97,0.05
21,0.969,0.053
22,0.961,0.063
24,0.958,0.066
25,0.949,0.068
27,0.94,0.084
29,0.927,0.093
32,0.912,0.107
34,0.891,0.14
38,0.88,0.184
42,0.874,0.236
