0,1.0,4.45e-09
0,1.0,3.09e-08
0,1.0,4.06e-07
0,1.001,3.65e-07
0,1.001,3.56e-07
0,1.001,5.38e-07
0,1.0,6.62e-06
0,1.0,9.49e-05
0,1.0,0.000273
1,0.999,0.000624
1,0.999,0.000823
1,0.999,0.000851
1,1.0,0.000174
1,0.999,0.000263
1,0.998,0.000395
2,0.997,0.000651
2,0.997,0.00111
3,0.993,0.00245
4,0.988,0.00513
6,0.978,0.0159
8,0.969,0.031
10,0.965,0.054
11,0.968,0.0599
11,0.968,0.0625
12,0.967,0.0653
13,0.965,0.0693
13,0.963,0.0744
13,0.963,0.0788
14,0.963,0.0834
14,0.966,0.0877
14,0.969,0.0911
14,0.971,0.0923
15,0.973,0.0934
15,0.974,0.0943
15,0.977,0.0946
15,0.979,0.0941
15,0.98,0.0936
16,0.982,0.0921
16,0.984,0.091
16,0.983,0.0872
16,0.979,0.085
16,0.977,0.0857
17,0.975,0.0868
17,0.974,0.0881
17,0.972,0.0893
17,0.97,0.0908
18,0.968,0.0927
18,0.968,0.0945
18,0.967,0.0963
19,0.966,0.099
19,0.965,0.102
19,0.965,0.104
20,0.965,0.107
20,0.966,0.108
20,0.966,0.109
21,0.966,0.109
21,0.964,0.11
21,0.962,0.112
22,0.96,0.114
22,0.958,0.117
22,0.957,0.12
23,0.956,0.123
23,0.954,0.126
24,0.953,0.13
24,0.953,0.134
25,0.952,0.137
25,0.952,0.14
26,0.951,0.143
26,0.951,0.146
27,0.949,0.148
28,0.948,0.151
28,0.945,0.154
29,0.942,0.157
30,0.938,0.161
31,0.934,0.167
31,0.93,0.174
32,0.927,0.18
33,0.925,0.187
34,0.922,0.193
35,0.917,0.198
36,0.91,0.205
37,0.901,0.214
38,0.891,0.223
39,0.876,0.239
41,0.856,0.262
42,0.849,0.302
44,0.862,0.346
45,0.884,0.382
47,0.921,0.403
49,0.96,0.396
51,0.961,0.373
53,0.943,0.366
56,0.917,0.381
59,0.897,0.411
61,0.882,0.455
65,0.883,0.507
68,0.89,0.561
72,0.913,0.62
77,0.954,0.673
79,0.981,0.695
82,1.009,0.707
85,1.034,0.717
88,1.055,0.724
95,1.084,0.724
103,1.091,0.713
112,1.074,0.754
124,1.038,0.818
130,1.029,0.867
137,1.027,0.921
145,1.029,0.979
155,1.029,1.03
165,1.005,1.09
177,0.972,1.2
190,0.958,1.37
206,1.036,1.59
213,1.102,1.67
221,1.183,1.74
229,1.276,1.78
238,1.378,1.8
248,1.47,1.78
258,1.533,1.71
269,1.52,1.67
281,1.487,1.64
295,1.419,1.64
310,1.344,1.72
326,1.336,1.81
344,1.31,1.87
364,1.27,1.95
387,1.232,2.07
413,1.184,2.21
442,1.169,2.36
476,1.152,2.5
516,1.121,2.6
539,1.037,2.59
563,0.826,2.6
590,0.468,2.81
619,0.272,3.24
652,0.214,3.67
670,0.215,3.86
688,0.213,4.05
708,0.214,4.24
729,0.223,4.43
826,0.26,5.26
1240,0.433,8.46
2480,1.692,17.6
12400,29.1,71.1
24800,62.8,103.0
124000,186.0,213.0
248000,270.0,294.0
