550,0.7,4.7
600,0.795,5.02
650,0.9,5.42
700,1.01,5.83
720,1.07,6.0
740,1.13,6.18
750,1.17,6.26
760,1.19,6.31
800,1.32,6.6
850,1.45,6.78
900,1.59,7.18
950,1.72,7.44
1000,1.81,7.77
1100,1.84,8.38
1200,1.87,9.0
1300,1.95,9.7
1400,2.06,10.35
1500,2.19,11.0
1600,2.33,11.8
1700,2.49,12.5
1800,2.64,13.1
1900,2.8,13.8
2000,2.97,14.5
2100,3.13,15.0
2200,3.3,15.6
2400,3.65,16.9
2500,3.81,17.6
2600,4.0,18.3
3000,4.7,20.9
3500,6.0,23.9
4000,7.27,26.7
5000,9.77,32.2
6000,12.4,37.2
8000,18.4,45.3
10000,24.8,51.9
