326,0.338,1.4
335,0.329,1.45
344,0.32,1.5
354,0.311,1.55
365,0.301,1.61
376,0.292,1.66
387,0.281,1.72
400,0.273,1.78
413,0.263,1.84
428,0.255,1.9
443,0.244,1.99
459,0.235,2.08
477,0.225,2.19
496,0.214,2.33
517,0.209,2.43
539,0.202,2.58
564,0.199,2.69
590,0.194,2.86
620,0.191,3.04
653,0.19,3.22
689,0.191,3.42
729,0.194,3.62
775,0.197,3.88
827,0.204,4.14
886,0.216,4.43
954,0.229,4.81
1033,0.251,5.2
1127,0.278,5.7
1240,0.319,6.28
1378,0.371,6.98
1550,0.436,7.87
1771,0.53,8.99
2066,0.663,10.5
