667,2.15,3.88
714,2.25,4.11
769,2.4,4.34
833,2.56,4.57
909,2.69,4.8
1000,2.82,5.11
1050,2.87,5.28
1110,2.95,5.48
1180,2.99,5.7
1250,3.05,5.98
1330,3.14,6.3
1430,3.23,6.65
1540,3.36,7.05
1670,3.51,7.49
1820,3.64,8.01
2000,3.83,8.63
2110,3.95,8.95
2220,4.03,9.3
2350,4.06,9.73
2500,4.16,10.2
2670,4.28,10.8
2860,4.4,11.4
3080,4.53,12.1
3330,4.67,12.9
3640,4.79,13.9
4000,4.95,15.1
4440,5.11,16.6
5000,5.3,18.5
5710,5.45,21.0
6670,6.05,24.4
8000,7.12,29.0
10000,8.42,35.7
11100,9.55,39.5
12500,11.0,43.8
14300,13.0,49.0
16700,15.2,55.5
20000,18.1,64.6
22200,20.0,70.7
25000,22.5,78.1
28600,25.6,87.8
33300,30.8,101.0
40000,39.1,117.0
44400,45.1,127.0
50000,52.7,139.0
57100,62.5,153.0
66700,75.1,170.0
80000,92.0,191.0
100000,116.0,219.0
125000,144.0,250.0
154000,176.0,279.0
200000,219.0,317.0
286000,286.0,375.0
