200,0.78,1.85
206,0.76,1.93
213,0.79,2.0
221,0.9,2.01
229,0.8,2.14
238,0.79,2.23
248,0.79,2.34
253,0.79,2.39
258,0.79,2.46
263,0.79,2.52
269,0.78,2.6
275,0.79,2.68
281,0.8,2.76
288,0.83,2.85
295,0.84,2.94
302,0.84,3.03
310,0.86,3.12
317,0.88,3.23
326,0.91,3.34
335,0.95,3.45
344,0.99,3.58
354,1.04,3.71
364,1.11,3.84
375,1.2,3.97
387,1.3,4.09
400,1.41,4.2
413,1.53,4.29
427,1.63,4.36
459,1.8,4.49
476,1.85,4.55
495,1.88,4.65
516,1.9,4.78
539,1.94,4.94
563,2.0,5.11
590,2.05,5.3
619,2.12,5.51
652,2.2,5.76
688,2.3,6.02
729,2.42,6.33
774,2.6,6.64
826,2.78,6.97
885,3.01,7.31
953,3.26,7.63
991,3.38,7.8
1033,3.51,7.94
1078,3.6,8.09
1127,3.67,8.26
1181,3.72,8.44
1240,3.71,8.67
1305,3.69,8.94
1378,3.62,9.36
1459,3.64,9.81
1550,3.63,10.3
1653,3.63,11.0
1771,3.67,11.7
1907,3.77,12.6
2066,3.87,13.5
2254,3.97,14.7
2480,4.2,16.1
2755,4.45,17.7
3100,4.74,19.8
3542,5.22,22.4
4133,5.85,25.9
4959,7.01,30.7
6199,8.66,37.5
8266,11.5,48.6
12400,18.5,69.4
