31,0.84,0.0505
31,0.853,0.0101
32,0.863,0.0896
33,0.853,0.0841
34,0.839,0.0797
35,0.826,0.0795
36,0.808,0.081
37,0.785,0.083
38,0.762,0.0892
39,0.734,0.107
41,0.709,0.123
42,0.679,0.145
44,0.654,0.174
45,0.627,0.21
47,0.603,0.248
49,0.579,0.291
51,0.547,0.344
53,0.523,0.421
56,0.523,0.516
59,0.551,0.604
61,0.603,0.675
65,0.657,0.729
68,0.688,0.75
72,0.706,0.801
77,0.723,0.859
82,0.747,0.962
88,0.87,1.03
95,0.959,1.02
103,0.942,0.98
107,0.867,0.96
112,0.745,1.06
118,0.725,1.25
124,0.801,1.44
130,0.955,1.5
137,1.0,1.55
145,1.07,1.63
155,1.12,1.69
165,1.21,1.84
177,1.42,1.89
190,1.43,1.86
206,1.52,2.02
225,1.74,2.2
248,1.96,2.25
275,2.16,2.31
310,2.3,2.33
354,2.57,2.34
413,2.78,2.43
495,2.95,2.38
619,3.05,2.67
826,3.51,3.07
1239,3.97,3.78
2479,5.44,5.54
